FOODID,FOODNAME_FI,FOODNAME_EN,FOODNAME_SV,FUCLASS,IGCLASS,FUCLASS_subsitute,kgCO2-eq/kg,gCO2-eq/100g,Data quality,Average_source
1,SOKERI,SUGAR,SOCKER,"Sokerit, siirapit","Sokerit, siirapit",,0.51,51.0,Product,-
2,"FRUKTOOSI, HEDELMÄSOKERI",FRUCTOSE,"FRUKTSOCKER, FRUKTOS","Sokerit, siirapit","Sokerit, siirapit",,1.26,126.0,Product,-
3,SIIRAPPI,SYRUP,SIRAP,"Sokerit, siirapit","Sokerit, siirapit",,0.82,82.0,Category average,IGCLASS
4,HUNAJA,HONEY,HONUNG,"Sokerit, siirapit","Sokerit, siirapit",,0.98,98.0,Product,-
5,"MAKEINEN, KARAMELLI","SWEET, CANDY","SÖTSAK, KARAMELL",Makeiset,Makeiset,,1.37,137.0,Category average,IGCLASS
6,"SUKLAA, KESKIARVO, MAITO-, TUMMA-, VALKO-","CHOCOLATE, AVERAGE","CHOKLAD, MEDELVÄRDE",Suklaa,Suklaa,,2.8,280.0,Category average,IGCLASS
7,"SUKLAAKONVEHTI, MARMELADITÄYTE",CHOCOLATE CONFECTION FILLED WITH MARMALADE,CHOKLADKONFEKT MED MARMELADFYLLNING,Suklaa,Suklaa,,2.8,280.0,Category average,IGCLASS
8,LAKRITSI,"LIQUORICE, LICORICE",LAKRITS,Makeiset,Makeiset,,1.37,137.0,Category average,IGCLASS
9,"MAKEINEN, MARMELADIMAKEINEN","JELLY CANDY, FRUIT JELLY","SÖTSAK, MARMELAD",Makeiset,Makeiset,,1.06,106.0,Product,-
10,"MARSIPAANI, MANTELIMASSA","MARZIPAN, ALMOND PASTE","MARSIPAN, MANDELMASSA",Makeiset,Makeiset,,1.96,196.0,Product,-
11,"MAKEINEN, TOFFEE",TOFFEE,"SÖTSAK, TOFFEE",Makeiset,Makeiset,,1.37,137.0,Category average,IGCLASS
12,"MAKEINEN, SALMIAKKIPASTILLI",SALTY LIQOURICE PASTILLE,"SÖTSAK, SALMIAKPASTILL",Makeiset,Makeiset,,1.37,137.0,Category average,IGCLASS
14,"SUKLAAPATUKKA SUKLAINEN, KESKIARVO","CHOCOLATE BAR, AVERAGE","CHOKLADSTÅNG MED CHOKLAD, MEDELVÄRDE",Suklaa,Suklaa,,2.8,280.0,Category average,IGCLASS
20,"KAAKAOJAUHE, EI LISÄTTYÄ SOKERIA","COCOA POWDER, UNSWEETENED","KAKAOPULVER, UTAN TILLSATT SOCKER",Sekalaiset ruoka-aineet,Valmistuksen apuaineet,,2.29,229.0,Product,-
21,"KAAKAOJAUHE, SOKEROITU",COCOA POWDER WITH SUGAR,"KAKAOPULVER, SOCKRAT",Sekalaiset ruoka-aineet,Valmistuksen apuaineet,,2.66,266.0,Product,-
24,SORBITOLI,SORBITOL,SORBITOL,Sekalaiset ruoka-aineet,Makeutusaineet,,0.62,62.0,Category average,IGCLASS
25,LIIVATE,GELATIN,GELATIN,Sekalaiset ruoka-aineet,Valmistuksen apuaineet,,1.73,173.0,Product,-
26,"HIIVA, TUORE","BAKING YEAST, FRESH","JÄST, FÄRSK",Sekalaiset ruoka-aineet,Valmistuksen apuaineet,,5.07,507.0,Product,-
27,"JAUHO, MAISSITÄRKKELYS","FLOUR, CORNSTARCH, CORNFLOUR","MJÖL, MAJSSTÄRKELSE",Sekalaiset ruoka-aineet,Tärkkelykset,,0.97,97.0,Product,-
28,SINAPPI,MUSTARD,SENAP,Maustekastikkeet,Maustekastikkeet,,1.77,177.0,Product,-
30,"RUOKASUOLA, JODIOITU","SALT, IODISED","KOKSALT, JODERAT",Mausteet,Suolat,,0.42,42.0,Product,-
31,"MAUSTEKASTIKE, SOIJAKASTIKE",SOY SAUCE,"KRYDDSÅS, SOJASÅS",Maustekastikkeet,Maustekastikkeet,,0.57,57.0,Product,-
32,"SUKLAA, TUMMA","CHOCOLATE, PLAIN, DARK CHOCOLATE","CHOKLAD, MÖRK CHOKLAD",Suklaa,Suklaa,,1.92,192.0,Product,-
33,"SUKLAA, MAITOSUKLAA","CHOCOLATE, MILK CHOCOLATE","CHOKLAD, MJÖLKCHOKLAD",Suklaa,Suklaa,,3.16,316.0,Product,-
35,"MAKEINEN, SOKERITON","SWEET, CANDY, SUGAR-FREE","SÖTSAK, SOCKERFRI",Makeiset,Makeiset,,1.37,137.0,Category average,IGCLASS
36,"MINERAALISUOLA, KESKIARVO","SALT, LOW SODIUM","MINERALSALT, MEDELVÄRDE",Mausteet,Suolat,,0.42,42.0,Product,-
37,"SUKLAA, SOKERITON, KEINOTEKOISESTI MAKEUTETTU","CHOCOLATE, ARTIFICIALLY SWEETENED","CHOKLAD, SOCKERFRI, SYNTETISKT SÖTAD",Suklaa,Suklaa,,2.8,280.0,Category average,IGCLASS
38,LIHALIEMIJAUHE/TIIVISTE,MEAT BOUILLON POWDER/CUBE,KÖTTBULJONGPULVER/KONCENTRAT,Sekalaiset ruoka-aineet,Valmistuksen apuaineet,,4.45,445.0,Product,-
39,"MAKEUTUSAINE, ASPARTAAMI, JAUHE","SWEETENER, ASPARTAM, POWDER","SÖTNINGSMEDEL, ASPARTAM, PULVER",Sekalaiset ruoka-aineet,Makeutusaineet,,0.62,62.0,Category average,IGCLASS
40,"VÄLIPALAPATUKKA, KUITUINEN",CEREAL BAR WITH FIBRE,"MELLANMÅLSSTÅNG, FIBERRIK",Viljapatukat,Viljapatukat,,2.02,202.0,Product,-
43,RUISMALLAS,RYE MALT,RÅGMALT,Sekalaiset ruoka-aineet,Valmistuksen apuaineet,,6.4,640.0,Category average,IGCLASS
44,"SUKLAAPATUKKA TÄYTESUKLAA, KESKIARVO","CHOCOLATE BAR WITH FILLING, AVERAGE","CHOKLADSTÅNG MED CHOKLADFYLLNING, MEDELVÄRDE",Suklaa,Suklaa,,2.8,280.0,Category average,IGCLASS
62,KSYLITOLIPASTILLI,PASTILLE SWEETENED WITH XYLITOL,"PASTILL, SÖTAD MED XYLITOL",Makeiset,Makeiset,,1.37,137.0,Category average,IGCLASS
63,SUKLAAPATUKKA VÄHÄRASVAINEN,"CHOCOLATE BAR, LOW-FAT","CHOKLADSTÅNG, LÅG FETTHALT",Suklaa,Suklaa,,2.8,280.0,Category average,IGCLASS
65,KSYLITOLIPURUKUMI,"CHEWING GUM, XYLITOL SWEETENED",XYLITOLTUGGUMMI,Makeiset,Makeiset,,1.37,137.0,Category average,IGCLASS
66,PURUKUMI,CHEWING GUM,TUGGUMMI,Makeiset,Makeiset,,1.37,137.0,Category average,IGCLASS
68,OHRATÄRKKELYS,BARLEY STARCH,KORNSTÄRKELSE,Jauhot,Tärkkelykset,,1.31,131.0,Category average,IGCLASS
69,"HEDELMÄPASTILLI, ARABIKUMIPASTILLI",FRUIT PASTILLE WITH GUM ARABIC,"FRUKTPASTILL, GUMMI ARABICUM",Makeiset,Makeiset,,1.37,137.0,Category average,IGCLASS
70,"MAKEUTUSAINE, HERMESETAS, SAKARIINI","SWEETENER, SACCHARIN","SÖTNINGSMEDEL, SACKARIN",Sekalaiset ruoka-aineet,Makeutusaineet,,0.62,62.0,Product,-
73,"JOGURTTIRUSINA/JOGURTTIHEDELMÄ, KUORRUTETTU KUIVATTU HEDELMÄ",RAISIN OR DRIED FRUIT COATED WITH YOGHURT,"YOGHURTRUSSIN/YOGHURTFRUKT, ÖVERDRAGEN TORKAD FRUKT","Pähkinät, siemenet ja kuivatut hedelmät",Muut hedelmät,,0.69,69.0,Category average,IGCLASS
74,LEIVINJAUHE,BAKING POWDER,BAKPULVER,Sekalaiset ruoka-aineet,Valmistuksen apuaineet,,5.0,500.0,Product,-
75,"KALALIEMI, LAIMENNETTU",FISH STOCK BROTH,"FISKBULJONG, UTSPÄDD",Kastikkeet ja liemet ,Maustekastikkeet,,15.98,1598.0,Product,-
79,"RUOKASUOLA, JODIOIMATON, VUORISUOLA","SALT, ROCK SALT, WITHOUT IODINE","SALT, OJODAT BERGSSALT",Mausteet,Suolat,,0.42,42.0,Product,-
100,"JAUHO, RUISJAUHO, TÄYSJYVÄJAUHO","FLOUR, RYE, WHOLEGRAIN RYE FLOUR","MJÖL, RÅGMJÖL, FULLKORNSMJÖL",Jauhot,Ruis,,0.6,60.0,Product,-
103,RUISHIUTALE,RYE FLAKES,RÅGFLINGOR,Jauhot,Ruis,,0.58,58.0,Product,-
110,"JAUHO, VEHNÄJAUHO, PUOLIKARKEA","FLOUR, WHEAT FLOUR, SEMI-COARSE","MJÖL, VETEMJÖL, HALVGROVT",Jauhot,Vehnä,,0.77,77.0,Product,-
111,"JAUHO, GRAHAMJAUHO","FLOUR, WHOLE WHEAT FLOUR, GRAHAM FLOUR","MJÖL, GRAHAMMJÖL",Jauhot,Vehnä,,0.77,77.0,Product,-
112,MANNASUURIMO,SEMOLINA,MANNAGRYN,Jauhot,Vehnä,,1.44,144.0,Product,-
113,"MANNASUURIMO, TUMMA","SEMOLINA, WHOLE WHEAT","MANNAGRYN, MÖRKA",Jauhot,Vehnä,,1.44,144.0,Product,-
114,VEHNÄHIUTALE,WHEAT FLAKES,VETEFLINGOR,Jauhot,Vehnä,,1.42,142.0,Category average,IGCLASS
115,VEHNÄNALKIO,WHEAT GERM,VETEGRODDAR,Jauhot,Vehnä,,1.42,142.0,Category average,IGCLASS
116,"LESE, VEHNÄLESE",WHEAT BRAN,"KLI, VETEKLI",Jauhot,Vehnä,,0.3,30.0,Product,-
117,"MAKARONI, PASTA","MACARONI, PASTA","MAKARONI, PASTA",Pastalisäke,Vehnä,,1.75,175.0,Product,-
119,"MAKARONI, TUMMA","MACARONI, WHOLE WHEAT","MAKARONER, MÖRKA",Pastalisäke,Vehnä,,1.75,175.0,Product,-
120,"NUUDELI, VEHNÄNUUDELI","NOODLE, WHEAT","NUDEL, VETE",Pastalisäke,Vehnä,,1.75,175.0,Product,-
121,"PASTA, SPAGETTI, MAKARONI","PASTA, SPAGHETTI, MACARONI","PASTA, SPAGHETTI, MAKARONI",Pastalisäke,Vehnä,,1.75,175.0,Product,-
124,"JAUHO, HIIVALEIPÄVEHNÄJAUHO","FLOUR, DARK WHEAT FLOUR","MJÖL, JÄSTBRÖDSVETEMJÖL",Jauhot,Vehnä,,1.42,142.0,Category average,IGCLASS
125,"JAUHO, JAUHOSEOS, SÄMPYLÄJAUHO, VEHNÄJAUHO, RUISJAUHO, VEHNÄROUHE","FLOUR MIXTURE, FOR BREAD ROLLS, WHEAT FLOUR, WHEAT GROATS, RYE","MJÖL, MJÖLBLANDNING, SEMLEMJÖL, VETEMJÖL, RÅGMJÖL, VETEKROSS",Jauhot,Vehnä,,1.42,142.0,Category average,IGCLASS
126,"JAUHO, KORPPUJAUHO","FLOUR, BREADCRUMBS","MJÖL, SKORPMJÖL",Jauhot,Vehnä,,1.42,142.0,Category average,IGCLASS
133,"VOHVELIKUORI, JÄÄTELÖVOHVELI","WAFER, ICE CREAM CONE","VÅFFELSKAL, VÅFFELSTRUT",Makeat keksit ja pikkuleivät,Vehnä,,2.51,251.0,Product,-
142,"JAUHO, VEHNÄJAUHO, LEIPOMOTEOLLISUUS, VASTAJAUHETTU","FLOUR, WHEAT FLOUR, SEMI-COARSE, BAKERY INDUSTRY, FRESH","MJÖL, VETEMJÖL, BAGERIINDUSTRIN, NYMALET",Jauhot,Vehnä,,1.42,142.0,Category average,IGCLASS
150,"JAUHO, OHRAJAUHO","FLOUR, BARLEY FLOUR","MJÖL, KORNMJÖL",Jauhot,Ohra ja ohratuotteet,,1.4,140.0,Product,-
151,OHRASUURIMO,"BARLEY, PEARL",KORNGRYN,Jauhot,Ohra ja ohratuotteet,,1.25,125.0,Product,-
152,OHRAHIUTALE,"BARLEY, ROLLED, BARLEY FLAKES",KORNFLINGOR,Jauhot,Ohra ja ohratuotteet,,1.35,135.0,Category average,IGCLASS
153,KAURAHIUTALE,"OATS, ROLLED, OAT FLAKES",HAVREFLINGOR,Jauhot,Kaura ja kauratuotteet,,0.76,76.0,Product,-
154,"JAUHO, JAUHOSEOS, TALKKUNAJAUHO, SISÄLTÄÄ OHRAA","FLOUR MIXTURE, TALKKUNA POWDER, ROASTED BARLEY, RYE, OAT, PEA","MJÖL, MJÖLBLANDNING, TALKKUNA-MJÖL, INNEHÅLLER KORN",Jauhot,Muu vilja,,1.69,169.0,Category average,IGCLASS
156,RIISI PUUROUTUVA,"RICE, WHITE","RIS, GRÖTRIS, KLIBBIGT",Riisilisäke,Riisi,,2.52,252.0,Product,-
158,TÄYSJYVÄRIISI,"RICE, WHOLEGRAIN",FULLKORNSRIS,Riisilisäke,Riisi,,2.52,252.0,Product,-
160,"JAUHO, HIRSSISUURIMO TAI -JAUHO","FLOUR, MILLET, WHOLE OR CRUSHED GRAINS","MJÖL, HIRSGRYN/-MJÖL",Jauhot,Muu vilja,,0.75,75.0,Product,-
161,"JAUHO, TATTARISUURIMO TAI -JAUHO","FLOUR, BUCKWHEAT, WHOLE OR CRUSHED GRAINS","MJÖL, BOVETEGRYN/-MJÖL",Jauhot,Muu vilja,,0.96,96.0,Product,-
162,"JAUHO, PERUNAJAUHO TAI -SUURIMO, PERUNATÄRKKELYS","FLOUR, POTATO STARCH, POTATO FLOUR","MJÖL, POTATISMJÖL/-GRYN, POTATISSTÄRKELSE",Jauhot,Tärkkelykset,,1.31,131.0,Category average,IGCLASS
167,"MAISSI, JYVÄ, KUIVATTU","MAIZE, KERNEL, DRIED, UNPOPPED","MAJSKORN, TORKAD",Jauhot,Muu vilja,,0.65,65.0,Product,-
168,KALJA- / MÄMMIMALLAS,MALT FOR BEER,MALT FÖR SVAGDRICKA/MEMMA,Sekalaiset ruoka-aineet,Ruis,,0.59,59.0,Category average,IGCLASS
170,"LESE, KAURALESE",OAT BRAN,"KLI, HAVREKLI",Jauhot,Kaura ja kauratuotteet,,0.42,42.0,Product,-
172,"PASTA, PINAATTISPAGETTI, SISÄLTÄÄ KANANMUNAA","SPAGHETTI SPINACH, CONTAINS EGG","PASTA, SPENATSPAGHETTI, INNEHÅLLER ÄGG",Pastalisäke,Vehnä,,1.42,142.0,Category average,IGCLASS
173,"KAURAMAKARONI, SISÄLTÄÄ VEHNÄÄ JA KAURAA","OAT MACARONI, CONTAINS WHEAT AND OATS","HAVREMAKARONER, INNEHÅLLER VETE OCH HAVRE",Pastalisäke,Vehnä,,1.75,175.0,Product,-
175,"ROUHE, VEHNÄROUHE KOKOJYVÄSTÄ","WHEAT GRAIN, CRUSHED","KROSS, VETEKROSS AV FULLKORN",Jauhot,Vehnä,,0.83,83.0,Product,-
176,"ROUHE, RUISROUHE","RYE GRAIN, CRUSHED","KROSS, RÅGKROSS",Jauhot,Ruis,,0.58,58.0,Product,-
182,"JAUHO, RIISIJAUHO, RIISIHIUTALE","FLOUR, RICE FLOUR, RICE FLAKE","MJÖL, RISMJÖL/-FLINGOR",Jauhot,Riisi,,2.93,293.0,Product,-
183,"JAUHO, TÄYSJYVÄRIISIJAUHO","FLOUR, RICE FLOUR, WHOLE GRAIN","MJÖL, FULLKORNSRISMJÖL",Jauhot,Riisi,,2.93,293.0,Product,-
184,"MAISSILASTU, TACOKUORI","TORTILLA CHIPS, TACO SHELL","MAJSCHIPS, TACOSKAL",Suolaiset naposteltavat,Muu vilja,,1.23,123.0,Product,-
185,"JAUHO, JAUHOSEOS, GLUTEENITON, VEHNÄTÄRKKELYSTÄ","FLOUR MIXTURE, GLUTEN-FREE, CONTAINS WHEAT STARCH","MJÖL, GLUTENFRI MJÖLBLANDNING, VETESTÄRKELSEPREPARAT",Jauhot,Muu vilja,,1.69,169.0,Category average,IGCLASS
189,"JAUHO, JAUHOSEOS, RUIS-VEHNÄ","FLOUR MIXTURE, RYE, WHEAT","MJÖL, RÅG-VETEMJÖLSBLANDNING",Jauhot,Ruis,,0.59,59.0,Category average,IGCLASS
202,"PERUNA, KUIVATTU","POTATO, DRIED","POTATIS, TORKAD","Perunat, keitetyt",Perunavalmisteet,,1.06,106.0,Product,-
203,PERUNALASTU,"POTATO CRISPS, POTATO CHIPS, POTATO SNACK",POTATISCHIPS,Suolaiset naposteltavat,Perunavalmisteet,,0.94,94.0,Product,-
204,"PERUNA, UUSI","POTATO, NEW","POTATIS, FÄRSKPOTATIS NYPOTATIS","Perunat, keitetyt",Peruna,,0.2,20.0,Product,-
205,"PERUNA, VANHA, KUORITTU","POTATO, PEELED","POTATIS, SKALAD","Perunat, keitetyt",Peruna,,0.21,21.0,Product,-
206,"PERUNASOSEJAUHE, VALMISTAMATON",MASHED POTATO POWDER,"POTATISMOSPULVER, OTILLRETT",Sekalaiset ruoka-aineet,Perunavalmisteet,,0.71,71.0,Category average,IGCLASS
207,"RANSKANPERUNAVALMISTE, PAKASTE","FRENCH FRIES, FROZEN","POMMES FRITES, DJUPFRYST","Paistetut perunat, ranskanperunat",Perunavalmisteet,,0.39,39.0,Product,-
209,PERUNAHIUTALE,POTATOFLAKE,POTATISFLINGOR,Sekalaiset ruoka-aineet,Perunavalmisteet,,0.44,44.0,Product,-
300,PORKKANA,CARROT,MOROT,"Kasvikset, tuoreet",Juuri- ja mukulakasvit,,0.12,12.0,Product,-
302,"PORKKANA, KUIVATTU","CARROT, DRIED","MOROT, TORKAD","Kasvikset, tuoreet",Juuri- ja mukulakasvit,,0.62,62.0,Product,-
303,LANTTU,"SWEDE, RUTABAGA",KÅLROT,"Kasvikset, tuoreet",Juuri- ja mukulakasvit,,0.12,12.0,Product,-
304,NAURIS,TURNIP,ROVA,"Kasvikset, tuoreet",Juuri- ja mukulakasvit,,0.12,12.0,Product,-
305,PUNAJUURI,"BEETROOT, RED BEET",RÖDBETA,"Kasvikset, tuoreet",Juuri- ja mukulakasvit,,0.12,12.0,Product,-
307,ETIKKAPUNAJUURI,"BEETROOT, PICKLED",ÄTTIKSRÖDBETA,Kasvissäilykkeet,Kasvissäilykkeet,,0.15,15.0,Product,-
308,RETIISI,RADISH,RÄDISA,"Kasvikset, tuoreet",Juuri- ja mukulakasvit,,0.36,36.0,Product,-
309,PALSTERNAKKA,PARSNIP,PALSTERNACKA,"Kasvikset, tuoreet",Juuri- ja mukulakasvit,,0.12,12.0,Product,-
310,MAA-ARTISOKKA,JERUSALEM ARTICHOKE,JORDÄRTSKOCKA,"Kasvikset, tuoreet",Juuri- ja mukulakasvit,,0.31,31.0,Product,-
311,"JUURISELLERI, MUKULASELLERI","CELERIAC, TURNIP-ROOTED CELERY, KNOB CELERY, CELERY ROOT",ROTSELLERI,"Kasvikset, tuoreet",Juuri- ja mukulakasvit,,0.12,12.0,Product,-
312,MUSTAJUURI,BLACK SALSIFY,SVARTROT,"Kasvikset, tuoreet",Juuri- ja mukulakasvit,,0.12,12.0,Product,-
320,"VALKOKAALI, KERÄKAALI",WHITE CABBAGE,"VITKÅL, HUVUDKÅL","Kasvikset, tuoreet",Kaalit,,0.25,25.0,Product,-
321,PUNAKAALI,RED CABBAGE,RÖDKÅL,"Kasvikset, tuoreet",Kaalit,,0.3,30.0,Product,-
322,KUKKAKAALI,CAULIFLOWER,BLOMKÅL,"Kasvikset, tuoreet",Kaalit,,0.25,25.0,Product,-
324,"PARSAKAALI, BROKKOLI",BROCCOLI,BROCCOLI,"Kasvikset, tuoreet",Kaalit,,0.33,33.0,Product,-
326,LEHTIKAALI,KALE,"GRÖNKÅL, BLADKÅL","Kasvikset, tuoreet",Kaalit,,0.31,31.0,Product,-
327,RUUSUKAALI,BRUSSELS SPROUT,"ROSENKÅL, BRYSSELKÅL","Kasvikset, tuoreet",Kaalit,,0.31,31.0,Product,-
329,"KYSSÄKAALI, KAALIRAPI",KOHLRABI,KÅLRABBI,"Kasvikset, tuoreet",Kaalit,,0.42,42.0,Product,-
330,"LEHTISALAATTI, RUUKKUSALAATTI, LOLLO ROSSO",LETTUCE,"BLADSALLAT, KRUKSALLAT, LOLLO ROSSO","Kasvikset, tuoreet",Lehtivihannekset,,2.02,202.0,Product,-
331,"JÄÄVUORISALAATTI, RAPEA KERÄSALAATTI, AMERIKANSALAATTI",ICEBERG LETTUCE,"ISBERGSSALLAT, FRASIG, AMERIKANSK SALLAT","Kasvikset, tuoreet",Lehtivihannekset,,2.01,201.0,Product,-
333,PERSILJA,PARSLEY,PERSILJA,"Kasvikset, tuoreet",Lehtivihannekset,,0.75,75.0,Product,-
334,NOKKONEN,"NETTLE, STINGING NETTLE",NÄSSLA. BRÄNNÄSSLA,"Kasvikset, tuoreet",Lehtivihannekset,,0.93,93.0,Category average,IGCLASS
335,"SIPULI, KELTASIPULI",ONION,"LÖK, GUL LÖK","Kasvikset, tuoreet",Sipulikasvikset,,0.12,12.0,Product,-
336,"SIPULI, KUIVATTU SIPULILASTU","ONION, DRIED","LÖK, TORKAD","Kasvikset, tuoreet",Sipulikasvikset,,1.37,137.0,Product,-
337,PURJOSIPULI,LEEK,PURJOLÖK,"Kasvikset, tuoreet",Sipulikasvikset,,0.35,35.0,Product,-
338,RAPARPERI,RHUBARB,RABARBER,"Kasvikset, tuoreet",Lehtivihannekset,,0.31,31.0,Product,-
339,"LEHTISELLERI, VARSISELLERI",CELERY,BLADSELLERI,"Kasvikset, tuoreet",Lehtivihannekset,,0.43,43.0,Product,-
340,"PARSA, SÄILÖTTY","ASPARAGUS, CANNED","SPARRIS, INLAGD",Kasvissäilykkeet,Kasvissäilykkeet,,1.01,101.0,Product,-
342,"SIENI, TATTI, HAPERO","MUSHROOM, BOLETUS, RUSSULA","SVAMP, SOPP, KREMLA",Sieniruoat,Sienet,,0.14,14.0,Category average,IGCLASS
343,"SIENI ROUSKUT, SUOLATTU, KÄYTTÖVALMIS","MUSHROOM, MILK CAPS, SALTED","SVAMP, RISKA, SALTAD",Sieniruoat,Sienet,,0.14,14.0,Category average,IGCLASS
344,ETIKKASIENISÄILYKE,MUSHROOM IN VINEGAR,"SVAMP, KONSERV, I ÄTTIKA",Sieniruoat,Sienet,,0.14,14.0,Category average,IGCLASS
345,HERKKUSIENI,"CHAMPIGNON, FRESH",CHAMPINJONER,Sieniruoat,Sienet,,0.13,13.0,Product,-
346,KURKKU,CUCUMBER,GURKA,"Kasvikset, tuoreet",Vihanneshedelmät,,1.52,152.0,Product,-
347,"ETIKKAKURKKU, EI LISÄTTYÄ SOKERIA","CUCUMBER, PICKLED CUCUMBER, WITHOUT ADDED SUGAR","ÄTTIKSGURKA, UTAN TILLSATT SOCKER",Kasvissäilykkeet,Kasvissäilykkeet,,0.24,24.0,Product,-
348,"MAUSTEKURKKU, HERKKUKURKKU, SOKERISUOLATTU","PICKLED CUCUMBER, SWEET, FLAVOURED","KRYDDGURKA, SOCKERSALTAD",Kasvissäilykkeet,Kasvissäilykkeet,,15.81,1581.0,Category average,IGCLASS
350,KURPITSA,PUMPKIN,PUMPA,"Kasvikset, tuoreet",Vihanneshedelmät,,0.24,24.0,Product,-
351,"SALAATTI, KURPITSASALAATTI, PIKKELSSI","SALAD, PICKLED PUMPKIN","SALLAD, SYLTAD PUMPA",Kasvissäilykkeet,Kasvissäilykkeet,,0.56,56.0,Product,-
352,TOMAATTI,TOMATO,TOMAT,"Kasvikset, tuoreet",Vihanneshedelmät,,1.96,196.0,Product,-
353,KETSUPPI,TOMATO KETCHUP,TOMATKETCHUP,Maustekastikkeet,Maustekastikkeet,,0.84,84.0,Product,-
354,"TOMAATTISOSE, TOMAATTIPYREE",TOMATO PUREE,TOMATPURÉ,Maustekastikkeet,Kasvissäilykkeet,,0.89,89.0,Product,-
355,"PAPRIKA, KESKIARVO","SWEET PEPPER, AVERAGE","PAPRIKA, MEDELVÄRDE","Kasvikset, tuoreet",Vihanneshedelmät,,0.57,57.0,Product,-
356,"SEKAVIHANNES, PORKKANA, KUKKAKAALI, HERNE, PAPU","MIXED VEGETABLES, CARROT, CAULIFLOWER, PEA, BEAN","GRÖNSAKSBLANDNING, MOROT, BLOMKÅL, ÄRTER, BÖNOR","Kasvikset, tuoreet",Juuri- ja mukulakasvit,,0.24,24.0,Category average,IGCLASS
358,"TÄYSMEHU, KASVISTUOREMEHU",VEGETABLE JUICE,"JUICE, GRÖNSAKSJUICE",Kasvismehut,Kasvisjuomat,,0.42,42.0,Category average,IGCLASS
359,KIINANKAALI,CHINESE CABBAGE,KINAKÅL,"Kasvikset, tuoreet",Kaalit,,0.31,31.0,Product,-
360,MANGOLDI,SWISS CHARD,MANGOLD,"Kasvikset, tuoreet",Lehtivihannekset,,0.16,16.0,Product,-
362,MUNAKOISO,AUBERGINE,"ÄGGPLANTA, AUBERGINE","Kasvikset, tuoreet",Vihanneshedelmät,,0.22,22.0,Product,-
363,"MAISSI, JYVÄT",SWEET CORN KERNELS,MAJSKORN,"Kasvikset, tuoreet",Lehtivihannekset,,0.51,51.0,Product,-
364,VIHANNESKRASSI,GARDEN CRESS,TRÄDGÅRDSKRASSE,"Kasvikset, tuoreet",Lehtivihannekset,,2.02,202.0,Product,-
367,KANTARELLI,CHANTERELLE,KANTARELL,Sieniruoat,Sienet,,0.14,14.0,Category average,IGCLASS
368,KORVASIENI,FALSE MOREL,STENMURKLA,Sieniruoat,Sienet,,0.15,15.0,Product,-
369,"TILLI, TUORE","DILL, FRESH","DILL, FÄRSK","Kasvikset, tuoreet",Lehtivihannekset,,0.4,40.0,Product,-
370,"HERNE, VIHREÄ, TUORE","PEA, GREEN","ÄRTER, GRÖNA, FÄRSKA",Palkokasvit,Palkokasvit,,0.32,32.0,Product,-
371,"HERNE, VIHREÄ, KUIVATTU","PEA, GREEN, DRIED","ÄRTER, GRÖNA, TORKADE",Palkokasvit,Palkokasvit,,2.24,224.0,Product,-
372,"PAPU, VIHREÄ TAITEPAPU, TUORE","BEAN, GREEN BEAN, STRING BEAN","BÖNOR, GRÖNA BRYTBÖNOR, FÄRSKA",Palkokasvit,Palkokasvit,,0.18,18.0,Product,-
373,"PAPU, RUSKEA TAI VALKOINEN, KUIVATTU, KESKIARVO","BEAN, COMMON BEAN, BROWN BEAN, WHITE BEAN, AVERAGE","BÖNOR, BRUNA/VITA, MEDELVÄRDE",Palkokasvit,Palkokasvit,,0.82,82.0,Category average,IGCLASS
375,"PÄHKINÄ, HASSELPÄHKINÄ","NUT, HAZELNUT","NÖT, HASSELNÖT","Pähkinät, siemenet ja kuivatut hedelmät","Pähkinät, siemenet",,4.48,448.0,Product,-
376,"PÄHKINÄ, SAKSANPÄHKINÄ","NUT, WALNUT","NÖT, VALNÖT","Pähkinät, siemenet ja kuivatut hedelmät","Pähkinät, siemenet",,1.79,179.0,Product,-
377,KASTANJA,CHESTNUT,KASTANJER,"Pähkinät, siemenet ja kuivatut hedelmät","Pähkinät, siemenet",,1.63,163.0,Product,-
378,"PÄHKINÄ, MAAPÄHKINÄ","NUT, PEANUT","NÖT, JORDNÖT","Pähkinät, siemenet ja kuivatut hedelmät","Pähkinät, siemenet",,2.05,205.0,Product,-
379,MANTELI,ALMOND,MANDEL,"Pähkinät, siemenet ja kuivatut hedelmät","Pähkinät, siemenet",,2.47,247.0,Product,-
380,"JAUHO, SOIJAJAUHO, RASVAINEN","FLOUR, SOYA FLOUR, FULL FAT","MJÖL, SOJAMJÖL, FET",Palkokasvivalmiste,Soijavalmisteet,,0.72,72.0,Product,-
381,"JAUHO, SOIJAJAUHO, VÄHÄRASVAINEN","FLOUR, SOYA FLOUR, LOW-FAT","MJÖL, SOJAMJÖL, LÅG FETTHALT",Palkokasvivalmiste,Soijavalmisteet,,0.72,72.0,Product,-
382,KOOKOSHIUTALE,COCONUT FLAKE,KOKOSFLINGOR,"Pähkinät, siemenet ja kuivatut hedelmät","Pähkinät, siemenet",,2.1,210.0,Category average,IGCLASS
