FOODID,FOODNAME_FI,FOODNAME_EN,FOODNAME_SV,FUCLASS,IGCLASS,FUCLASS_subsitute,kgCO2-eq/kg,gCO2-eq/100g,Data quality,Average_source
33760,"JOGURTTI, MAUSTETTU, A VILJA, RASVAA 2 %, LAKTOOSITON, D-VIT 1 UG","YOGHURT, FLAVOURED, 2% FAT, LACTOSE-FREE, A CEREAL, 1 UG VITAMIN D","YOGHURT, SMAKSATT, 2 % FETT, LAKTOSFRI, A, 1 UG VITAMIN D",Jogurtit,"Jogurtit, rasvaa > 1 %",,1.93,193.0,Category average,FUCLASS
33766,"VESI, KEITETTY","WATER, BOILED","VATTEN, KOKT",Vedet,Vesi,,0.17,17.0,Category average,IGCLASS
33792,"MAITO, TÄYSMAITO, RASVAA 3 %, LAKTOOSITON MAITOJUOMA, EILA, D-VITAMIINIA 2 UG","MILK, 3% FAT, LACTOSE-FREE, EILA, 2 UG ADDED VITAMIN D","MJÖLK, HELMJÖLK, 3 % FETT, LAKTOSFRI, 2 UG VITAMIN D, VALIO EILA",Maitojuomat >2%,"Rasvainen maito, rasvaa > 2 % ",,1.23,123.0,Category average,IGCLASS
33845,"MEETVURSTI TAI SALAMI, KEVYT RASVAA, 22 %","SALAMI, LIGHT, 22% FAT","MEDVURST/SALAMI, 22 %",Makkaraleikkeleet,Makkaraleikkeleet,,5.19,519.0,Product,-
33872,"ÄIDINMAITO, RINTAMAITO",BREAST MILK,BRÖSTMJÖLK,Tavanomaiset äidinmaidonkorvikkeet ja äidinmaito,Äidinmaitokorvikkeet ja äidinmaito,,1.14,114.0,Category average,IGCLASS
33885,"RAHKA, MAUSTETTU, PROFEEL PROTEIINIRAHKA, LAKTOOSITON","QUARK, FLAVOURED, PROFEEL PROTEIN QUARK, LACTOSE-FREE","KVARG, BÄR-/FRUKTKVARG, PROFEEL PROTEIN KVARG, LAKTOSFRI",Rahka,Rahka,Jogurtit,1.93,193.0,Category average,FUCLASS
33889,"SUKLAA, PÄHKINÄSUKLAA, MAITOSUKLAATA JA HASSELPÄHKINÄÄ","CHOCOLATE, MILK CHOCOLATE WITH HAZELNUTS","CHOKLAD, MJÖLKCHOKLAD MED HASSELNÖTTER",Suklaa,Suklaa,,3.16,316.0,Product,-
33899,MAIZENA PIKASUURUSTE,"CORN STARCH, MAIZENA EXPRESS",MAIZENA EXPRESS AVREDNING,Sekalaiset ruoka-aineet,Tärkkelykset,,0.97,97.0,Product,-
33925,"QUORN, FILEET, KUUTIOT, ROUHE","QUORN, FILLET, PIECES, MINCE","QUORN, FILE, FÄRS, BITAR",Sieniruoat,Sienet,,0.14,14.0,Category average,IGCLASS
33927,"KOKOLIHALEIKKELE, KALKKUNALEIKKELE",TURKEY COLD CUTS,"PÅLÄGG AV HELT KÖTT, KALKONPÅLÄGG",Lihaleikkeleet,Lihaleikkeleet,,8.15,815.0,Category average,IGCLASS
33928,"OMENASOSE, SOKEROITU","APPLESAUCE, SWEETENED","ÄPPELMOS, SOCKRAD","Hillot, marmeladit",Hillot,,1.26,126.0,Category average,IGCLASS
34110,MAIZENA SUURUSTE RUSKEA/VAALEA,"CORN STARCH, MAIZENA BROWN/LIGHT","MAIZENA REDNING, BRUN/LJUS",Sekalaiset ruoka-aineet,Tärkkelykset,,0.97,97.0,Product,-
34136,"MERILEVÄ, NORI, KUIVATTU","SEAWEED, NORI, DRIED","HAVSTÅNG, NORI, TORKAT",Kasvissäilykkeet,Kasvissäilykkeet,,52.08,5208.0,Product,-
34137,"MERILEVÄ, WAKAME, KUIVATTU","SEAWEED, WAKAME, DRIED","HAVSTÅNG, WAKAME, TORKAT",Kasvissäilykkeet,Kasvissäilykkeet,,52.08,5208.0,Product,-
34140,KOOKOSÖLJY,COCONUT OIL,KOKOSOLJA,Öljy,Öljy,,2.28,228.0,Category average,IGCLASS
34159,"RUKOLA, RUCOLA, SINAPPIKAALI","ROCKET, ARUGULA","RUCOLA, RUCCOLA, SENAPSKÅL","Kasvikset, tuoreet",Lehtivihannekset,,2.02,202.0,Product,-
34180,"BROILERI, KOIPI NAHKOINEEN, RAAKA","CHICKEN DRUMSTICK WITH SKIN, RAW","KYCKLINGBEN, MED SKINN, RÅ",Kanat ja muut linnut,Kanalinnut,,4.52,452.0,Product,-
34183,"NAUDANLIHA E-LAJITELMA, NAUDAN KASTIKELIHA, RAAKA","BEEF, ASSORTMENT E, MEAT FOR GRAVY","NÖTKÖTT, SORTIMENT E, SÅSKÖTT, RÅ","Pihvit, kyljykset",Naudanliha,,25.95,2595.0,Category average,IGCLASS
34184,"RYPSIPORSAS, LIHASUIKALE","RAPESEED PORK, PORK STRIPS","RYPSGRIS, GRISKÖTT STRIMLAT","Pihvit, kyljykset",Sianliha,,6.39,639.0,Category average,IGCLASS
34185,"VILJAPORSAS, LIHASUIKALE","PORK, CEREAL-FED, STRIPS","KORNGRIS, STRIMLAD","Pihvit, kyljykset",Sianliha,,6.39,639.0,Category average,IGCLASS
34187,"NAUDANFILEE, SISÄFILEE",BEEF TENDERLOIN,"NÖTKÖTT, INNERFILÉ","Pihvit, kyljykset",Naudanliha,,16.13,1613.0,Product,-
34188,"PORSAANFILEE, ULKOFILEE","PORK FILLET, SIRLOIN","GRISKÖTT, YTTERFILÉ","Pihvit, kyljykset",Sianliha,,6.99,699.0,Product,-
34189,"SIANLIHA, 0-LAJITELMA, SIAN KASTIKELIHA, RAAKA","PORK, ASSORTMENT 0, PORK FOR SAUCE","GRISKÖTT, SORTIMENT 0, SÅSKÖTT, RÅ","Pihvit, kyljykset",Sianliha,,6.39,639.0,Category average,IGCLASS
34190,"KASSLERPIHVI/-PAISTI, RAAKA","PORK, KASSLER STEAK, RAW","GRISKASSLER, BIFF/STEK, RÅ","Pihvit, kyljykset",Sianliha,,6.39,639.0,Category average,IGCLASS
34201,"NAUDANLIHA, VÄHÄRASVAINEN, KESKIARVO","BEEF, LEAN, AVERAGE","NÖTKÖTT, LÅG FETTHALT, MEDELVÄRDE","Pihvit, kyljykset",Naudanliha,,25.95,2595.0,Category average,IGCLASS
34228,"PINAATTI, PAKASTE","SPINACH, FROZEN","SPENAT, DJUPFRYST","Kasvikset, tuoreet",Lehtivihannekset,,0.5,50.0,Product,-
34229,"HERNE, VIHREÄ, PAKASTE","PEA, GREEN, FROZEN","ÄRTER, GRÖNA, DJUPFRYSTA",Palkokasvit,Palkokasvit,,0.6,60.0,Product,-
34230,"VILLIRUCOLA, PIKKUHIETASINAPPI","WILD ROCKET, SAND ROCKET","VILD RUCOLA, SANDSENAP","Kasvikset, tuoreet",Lehtivihannekset,,2.02,202.0,Product,-
34231,JÄÄSALAATTI,GARDEN LETTUCE,ISSALLAT,"Kasvikset, tuoreet",Lehtivihannekset,,2.02,202.0,Product,-
34232,"PUNASALAATTI, PUNASIKURI",RADICCHIO,"CIKORIA, RÖD","Kasvikset, tuoreet",Lehtivihannekset,,0.93,93.0,Category average,IGCLASS
34233,"ROOMANSALAATTI, SIDESALAATTI",ROMAINE LETTUCE,ROMANSALLAT,"Kasvikset, tuoreet",Lehtivihannekset,,2.02,202.0,Product,-
34234,"SIPULI, PUNASIPULI","ONION, RED ONION",RÖDLÖK,"Kasvikset, tuoreet",Sipulikasvikset,,0.12,12.0,Product,-
34235,VALKORETIKKA,"RADISH, WHITE",RÄTTIKA,"Kasvikset, tuoreet",Juuri- ja mukulakasvit,,0.36,36.0,Product,-
34237,VUONANKAALI,"CORN SALAD, LAMB'S LETTUCE","VÅRSALLAT, VÅRKLYNNE","Kasvikset, tuoreet",Lehtivihannekset,,2.02,202.0,Product,-
34238,"KORIANTERI, TUORE","CORIANDER, FRESH","KORIANDER, FÄRSK","Kasvikset, tuoreet",Lehtivihannekset,,0.56,56.0,Product,-
34239,HAAPAROUSKU,NORTHERN MILKCAP,SKOGSRISKA,Sieniruoat,Sienet,,0.14,14.0,Category average,IGCLASS
34240,SUPPILOVAHVERO,FUNNEL CHANTERELLE,TRATTKANTARELL,Sieniruoat,Sienet,,0.14,14.0,Category average,IGCLASS
34241,KARVAROUSKU,WOOLLY MILKCAP,SKÄGGRISKA,Sieniruoat,Sienet,,0.14,14.0,Category average,IGCLASS
34242,"JAUHO, LEIVONTAVEHNÄJAUHO V600","FLOUR, WHEAT FLOUR, SEMI-COARSE, V600","MJÖL, VETEMJÖL, BAGERIINDUSTRIN V600",Jauhot,Vehnä,,0.77,77.0,Product,-
34243,"PAPU, HÄRKÄPAPU, TUORE","BEAN, BROAD BEAN, FAVA BEAN, FRESH","BONDBÖNOR, FÄRSK",Palkokasvit,Palkokasvit,,0.82,82.0,Category average,IGCLASS
34244,"HERNE, SOKERIHERNE, TUORE","SUGAR SNAP PEAS, FRESH","SOCKERÄRT, FÄRSK",Palkokasvit,Palkokasvit,,0.82,82.0,Category average,IGCLASS
34245,"SEESAMINSIEMEN, VALKOINEN, KOKONAINEN, KUORITTU","SESAME SEED, WHITE, WITHOUT HULL","SESAMFRÖN, VIT, UTAN SKAL","Pähkinät, siemenet ja kuivatut hedelmät","Pähkinät, siemenet",,1.91,191.0,Product,-
34246,"JAUHO, TÄYSJYVÄRUISJAUHO R800","FLOUR, RYE, WHOLEGRAIN RYE FLOUR R800","MJÖL, RÅGMJÖL, FULLKORNS R800",Jauhot,Ruis,,0.6,60.0,Product,-
34247,"JAUHO, TÄYSJYVÄRUISJAUHO R1000","FLOUR, RYE, WHOLEGRAIN RYE FLOUR R1000","MJÖL, RÅGMJÖL, FULLKORNS R1000",Jauhot,Ruis,,0.6,60.0,Product,-
34248,"JAUHO, TÄYSJYVÄOHRAJAUHO","FLOUR, BARLEY, WHOLE GRAIN BARLEY FLOUR","MJÖL, KORNMJÖL, FULLKORNS",Jauhot,Ohra ja ohratuotteet,,1.4,140.0,Product,-
34249,"JAUHO, ERIKOISVEHNÄJAUHO, VÄHITTÄISKAUPPA","FLOUR, COARSE WHEAT FLOUR","MJÖL, SPECIALVETEMJÖL",Jauhot,Vehnä,,0.77,77.0,Product,-
34252,"SIIKA, KASVATETTU","POWAN, WHITEFISH, POLLAN, LAVARET, FARMED","SIK, ODLAD",Kalat,Kalat,,4.43,443.0,Category average,IGCLASS
34253,"SILLI, SÄILYKE, KIRKASLIEMINEN","HERRING, PICKLED, CANNED","SILL, INLAGD, I KLAR LAG",Kalavalmiste,Kalavalmisteet,,1.93,193.0,Product,-
34254,"MERILEVÄ, KOMBU, KUIVATTU","SEAWEED, KOMBU, DRIED","HAVSTÅNG, KOMBU, TORKAT",Kasvissäilykkeet,Kasvissäilykkeet,,52.08,5208.0,Product,-
34255,"LOHI, FILEE, KASVATETTU","SALMON, FARMED","LAX, ODLAD",Kalat,Kalat,,4.84,484.0,Product,-
34256,"KIRJOLOHI, FILEE, KASVATETTU","RAINBOW TROUT, FARMED","REGNBÅGSLAX, ODLAD",Kalat,Kalat,,5.44,544.0,Product,-
34261,"JOGURTTI, MAUSTETTU, JUGUPALA, RASVAA 2,7 %","YOGHURT, FLAVOURED, 2.7% FAT","YOGHURT, SMAKSATT, 2,7 % FETT",Jogurtit,"Jogurtit, rasvaa > 1 %",,1.93,193.0,Category average,FUCLASS
34265,"JOGURTTI, MAUSTETTU, RASVAA 2 %, VL, -30% SOKERIA, D-VIT 1 UG","BERRY AND FRUIT YOGHURT 2% FAT, LOW-LACTOSE, -30% SUGAR, VITD 1 UG","BÄR-/FRUKTYOGHURT 2 % FETT, LÅG LAKTOSHALT, -30% SOCKER, VITD 1 UG",Jogurtit,"Jogurtit, rasvaa > 1 %",,1.93,193.0,Category average,FUCLASS
34361,"MANGO, KUORITTU","MANGO, WITHOUT SKIN",MANGO SKALAD,"Hedelmät, tuoreet",Muut hedelmät,,0.3,30.0,Product,-
34380,"PAPU, VALKOINEN, KUIVATTU","BEAN, WHITE BEAN, NAVY BEAN","BÖNOR, VITA",Palkokasvit,Palkokasvit,,0.37,37.0,Product,-
34590,"RAHKA, RAHKAJOGURTTI, MAUSTAMATON, RASVAA 0,9 %","QUARK, QUARK YOGHURT, PLAIN, 0.9% FAT","KVARG, KVARGYOGHURT, NATURELL, 0,9 % FETT",Rahka,Rahka,Jogurtit,1.93,193.0,Category average,FUCLASS
34591,"RAHKA, MAUSTAMATON, KERMARAHKA, RASVAA 10 %","CREAM QUARK, 10% FAT","GRÄDDKVARG, 7 % FETT",Rahka,Rahka,Jogurtit,1.93,193.0,Category average,FUCLASS
34592,"RAHKA, MAITORAHKA, MAUSTAMATON, RASVAA 2,3 %, VL","QUARK, 2,3% FAT, LOW-LACTOSE","KVARG, NATURELL, 2,3 % FETT, LÅG LAKTOSHALT",Rahka,Rahka,Jogurtit,1.93,193.0,Category average,FUCLASS
34595,"RAHKA, MAUSTETTU, RASVAA 7 %, VL","QUARK, FLAVOURED, 7% FAT, LOW-LACTOSE","KVARG, SMAKSATT, 7 % FETT, LÅG LAKTOSHALT",Rahka,Rahka,Jogurtit,1.93,193.0,Category average,FUCLASS
34596,"RAHKA, MAUSTETTU, PROFEEL PROTEIINIKERROSRAHKA, LAKTOOSITON","QUARK, FLAVOURED, PROFEEL PROTEIN QUARK WITH JAM, LACTOSE-FREE","KVARG, BÄR-/FRUKTKVARG, PROFEEL PROTEIN KVARG MED SYLT, LAKTOSFRI",Rahka,Rahka,Jogurtit,1.93,193.0,Category average,FUCLASS
34597,"RAHKA, MAUSTETTU, PROFEEL PROTEIINIRAHKA, KEINOTEK. MAKEUTETTU, LAKTOOSITON","QUARK, FLAVOURED, PROFEEL PROTEIN QUARK, ARTIFICIALLY SWEETENED, LACTOSE-FREE","KVARG, BÄR-/FRUKTKVARG, PROFEEL PROTEIN KVARG, SYNTETISKT SÖTAD, LAKTOSFRI",Rahka,Rahka,Jogurtit,1.93,193.0,Category average,FUCLASS
34598,RAHKAJUOMA,"QUARK, DRINKABLE","KVARG, DRICKBAR KVARG",Piimä,Piimä,Maitojuomat >2%,1.23,123.0,Category average,FUCLASS
34600,"RAHKA, MAUSTETTU, RASVAA 4,5 %","QUARK, FLAVOURED, 4.5% FAT","KVARG, SMAKSATT, 4,5 % FETT",Rahka,Rahka,Jogurtit,1.93,193.0,Category average,FUCLASS
34602,"RAHKA, MAITORAHKA, MAUSTAMATON, RASVAA 0,3 %, PROTEIINIA 12 %, LAKTOOSITON","QUARK, 0.3% FAT, 12% PROTEIN, LACTOSE-FREE","KVARG, NATURELL, 0,3 % FETT, 12 % PROTEIN, LAKTOSFRI",Rahka,Rahka,Jogurtit,1.93,193.0,Category average,FUCLASS
34611,"JOGURTTI, MAUSTAMATON, KREIKKALAINEN, RASVAA 7 %, LAKTOOSITON","YOGHURT, PLAIN, GREEK, 7% FAT, LACTOSE-FREE","YOGHURT, NATURELL, GREKISK, 7 % FETT, LAKTOSFRI",Jogurtit,"Jogurtit, rasvaa > 1 %",,1.93,193.0,Category average,FUCLASS
34630,"JOGURTTI, MAUSTAMATON, A, RASVAA 2,5 %, LAKTOOSITON, D-VIT 1 UG","YOGHURT, PLAIN, A, FAT 2.5%, LACTOSE-FREE, 1 UG VITAMIN D","YOGHURT, NATURELL, A, 2,5 % FETT, LAKTOSFRI, 1 UG VITAMIN D",Jogurtit,"Jogurtit, rasvaa > 1 %",,1.93,193.0,Category average,FUCLASS
34631,"JOGURTTI, MAUSTETTU, A LISÄAINEETON JOGURTTI, RASVAA 3 %, LAKTOOSITON","YOGHURT, FLAVOURED, A WITHOUT ADDITIVES, 3% FAT, LACTOSE-FREE","YOGHURT, SMAKSATT, A UTAN TILLSATSÄMNE, 3 % FETT, LAKTOSFRI",Jogurtit,"Jogurtit, rasvaa > 1 %",,1.93,193.0,Category average,FUCLASS
34634,"JOGURTTI, MAUSTAMATON, A KREIKKALAINEN, RASVAA 2 %, LAKTOOSITON, D-VIT 0,8 UG","YOGHURT, PLAIN, A GREEK, 2 % FAT, LACTOSE-FREE, 0.8 UG VITAMIN D","YOGHURT, NATURELL, A GREKISK, 2 % FETT, LAKTOSFRI, 0,8 UG VITAMIN D",Jogurtit,"Jogurtit, rasvaa > 1 %",,1.93,193.0,Category average,FUCLASS
34635,"JOGURTTI, TURKKILAINEN/KREIKKALAINEN, RASVAA 10 %, LAKTOOSITON","YOGHURT, TURKISH/GREEK, 10% FAT, LACTOSE-FREE","YOGHURT, TURKISK/GREKISK, 10 % FETT, LAKTOSFRI",Jogurtit,"Hapanmaitotuotteet, muut",,1.93,193.0,Product,-
34643,"(ARC)JOGURTTI,MAUSTAMATON,LUONTO䐁,RASVAA 1,4%, 0,6UG D-VIT, AB, LAKTOOSIT.","(ARC)YOGHURT WITH QUARK, PLAIN, ARLA LUONTO, 1.4% FAT, VIT D, AB, LACTOSE-FREE","(ARC)YOGHURT MED KVARG, NATURELL, ARLA LUONTO, 1,4% FETT, VIT D, AB, LAKTOSFRI",Jogurtit,"Jogurtit, rasvaa > 1 %",,1.93,193.0,Category average,FUCLASS
